Node_Label,ID_,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_display,cat_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude
6326,6326,cov744-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,685D79,6326,,
38805,38805,cov744-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,38805,,
105767,105767,cov744-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE1B05,105767,,
252746,252746,cov744-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D802A5,252746,,
596108,596108,cov744-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,596108,,
16976,16976,cov744-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,16976,,
174437,174437,cov744-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CFE5F4,174437,,
407789,407789,cov744-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D018B7,407789,,
72578,72578,cov745-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96888E,72578,,
104514,104514,cov745-olt-2_SECONDARY,gpon2,254.0.0.1,N,,ONT,,78C663,104514,,
48923,48923,cov745-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,9667A3,48923,,
70860,70860,cov745-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96E5D5,70860,,
370497,370497,cov745-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,370497,,
503845,503845,cov745-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,503845,,
96918,96918,cov745-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96BB4F,96918,,
103995,103995,cov745-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE5DD3,103995,,
251318,251318,cov745-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,251318,,
453434,453434,cov745-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,453434,,
616857,616857,cov745-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,616857,,
79809,79809,cov746-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96E9BA,79809,,
457653,457653,cov746-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,457653,,
614859,614859,cov746-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,614859,,
88974,88974,cov746-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AEA018,88974,,
97267,97267,cov746-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE97B1,97267,,
126452,126452,cov746-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE2152,126452,,
495486,495486,cov746-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D8B759,495486,,
646903,646903,crw24-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,646903,,
594064,594064,dd49-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,594064,,
360630,360630,dd49-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E846E2,360630,,
443560,443560,dd49-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E72614,443560,,
587739,587739,dd49-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D4FD72,587739,,
615563,615563,dd49-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,615563,,
380287,380287,der87-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,380287,,
447804,447804,der87-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,447804,,
637798,637798,der87-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,637798,,
614640,614640,der87-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,614640,,
616760,616760,der87-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,616760,,
66214,66214,der89-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,966ACD,66214,,
95150,95150,der89-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE637F,95150,,
102122,102122,der89-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,102122,,
617330,617330,der89-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,617330,,
589577,589577,dew1945-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,589577,,
165924,165924,dew1945-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D4C329,165924,,
592159,592159,dew1945-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,592159,,
76875,76875,don29-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,76875,,
376950,376950,don29-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,376950,,
549988,549988,don29-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,549988,,
597873,597873,don29-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,597873,,
365892,365892,don29-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CE4DA5,365892,,
510579,510579,don29-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E77C09,510579,,
605780,605780,don29-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,605780,,
173547,173547,eas3-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE70F8,173547,,
268726,268726,eas3-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,268726,,
636745,636745,eas3-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D87D86,636745,,
596056,596056,eas3-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D8A3FA,596056,,
44507,44507,edi1193-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,850012,44507,,
440398,440398,edi1193-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,440398,,
588505,588505,edi1193-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,588505,,
90474,90474,edi1194-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96901A,90474,,
192774,192774,edi1194-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,192774,,
587659,587659,edi1194-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,587659,,
102314,102314,edi1195-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,96C2A8,102314,,
611527,611527,edi1195-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E6DB30,611527,,
597092,597092,gla1207-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,E7C082,597092,,
127605,127605,gla1209-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE84D5,127605,,
156458,156458,gla1209-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,156458,,
583359,583359,gla1209-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,583359,,
418686,418686,gla1210-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,418686,,
423066,423066,gla1210-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,423066,,
518578,518578,gla1210-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CD0853,518578,,
580546,580546,gla1210-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D8CFCC,580546,,
412229,412229,gla1211-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,412229,,
595522,595522,gla1211-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,595522,,
