Node_Label, ID_, Parent_Foreign_Id, Parent_Foreign_Source, IP_Management, MgmtType_, svc_Forced, cat_type, cat_region, Asset_serialNumber, Asset_assetNumber, Asset_latitude, Asset_longitude
crw24-olt-1, crw24-olt-1, , , 172.20.0.219, N, , LTE, , , , , 
dd49-olt-1, dd49-olt-1, , , 172.20.0.220, N, , LTE, , , , , 
dd49-olt-3, dd49-olt-3, , , 172.20.0.221, N, , LTE, , , , , 
dd49-olt-5, dd49-olt-5, , , 172.20.0.222, N, , LTE, , , , , 
der87-olt-1, der87-olt-1, , , 172.20.0.223, N, , LTE, , , , , 
der87-olt-5, der87-olt-5, , , 172.20.0.224, N, , LTE, , , , , 
der89-olt-1, der89-olt-1, , , 172.20.0.225, N, , LTE, , , , , 
der89-olt-3, der89-olt-3, , , 172.20.0.226, N, , LTE, , , , , 
dew1945-olt-3, dew1945-olt-3, , , 172.20.0.227, N, , LTE, , , , , 
dew1945-olt-5, dew1945-olt-5, , , 172.20.0.228, N, , LTE, , , , , 
don29-olt-1, don29-olt-1, , , 172.20.0.229, N, , LTE, , , , , 
don29-olt-5, don29-olt-5, , , 172.20.0.230, N, , LTE, , , , , 
don29-olt-7, don29-olt-7, , , 172.20.0.231, N, , LTE, , , , , 
eas3-olt-1, eas3-olt-1, , , 172.20.0.232, N, , LTE, , , , , 
eas3-olt-3, eas3-olt-3, , , 172.20.0.233, N, , LTE, , , , , 
edi1193-olt-1, edi1193-olt-1, , , 172.20.0.234, N, , LTE, , , , , 
edi1193-olt-3, edi1193-olt-3, , , 172.20.0.235, N, , LTE, , , , , 
edi1194-olt-1, edi1194-olt-1, , , 172.20.0.236, N, , LTE, , , , , 
edi1194-olt-3, edi1194-olt-3, , , 172.20.0.237, N, , LTE, , , , , 
edi1195-olt-1, edi1195-olt-1, , , 172.20.0.238, N, , LTE, , , , , 
gla1207-olt-1, gla1207-olt-1, , , 172.20.0.239, N, , LTE, , , , , 
gla1209-olt-1, gla1209-olt-1, , , 172.20.0.240, N, , LTE, , , , , 
gla1210-olt-1, gla1210-olt-1, , , 172.20.0.241, N, , LTE, , , , , 
gla1210-olt-5, gla1210-olt-5, , , 172.20.0.242, N, , LTE, , , , , 
gla1211-olt-1, gla1211-olt-1, , , 172.20.0.243, N, , LTE, , , , , 
gla1211-olt-5, gla1211-olt-5, , , 172.20.0.244, N, , LTE, , , , , 
gla1213-olt-1, gla1213-olt-1, , , 172.20.0.245, N, , LTE, , , , , 
gla1214-olt-1, gla1214-olt-1, , , 172.20.0.246, N, , LTE, , , , , 
gla1215-olt-1, gla1215-olt-1, , , 172.20.0.247, N, , LTE, , , , , 
